TIME,SL,EEG,BP,HR,CIRCLUATION,target
18349.8,161641,-1.15E+04,87,388,6290,1
13224.3,82194,-9924,102,330,3715,0
12905.3,66038,-8059,60,286,2901,0
6865.16,9301.76,-3209.6,22,138,554,1
7751.4,9454,-1967,14,141,584,0
9972.31,22175,-4675,33,184,1210,0
18112.1,219938,-11279,80,380,7226,0
8162.41,10459,-3456,12,114,549,0
9747.68,32137,-5479,44,165,1690,0
7058.34,9603.81,-2517.39,19,123,621,1
9552.34,16681,-3841,88,172,973,1
5304.7,4505,-1884,15,97,322,0
13806.9,141333,-4.71E+03,49,315,5844,1
13720.3,141887,-5.28E+03,41,315,5844,1
16725.1,197745,-10893,318,388,7460,0
5079.37,3067.15,-1182.62,38,67,224,1
5345.81,4452.99,-1.10E+03,20,88,292,1
12736.7,75832,-5688,32,242,3060,0
21884.5,410997,-8.37E+03,62,473,14125,1
15702.8,115053,-4.57E+03,70,271,4426,1
7827.7,7481,-2187,7,97,400,0
7860.77,9229.4,-3097.47,18,138,554,1
9259.58,27517,-3.28E+03,27,194,1521,1
14685.7,52757.5,-2.66E+03,38,234,2464,1
12770.9,74941,-6169,26,230,3288,0
12857.6,52380.4,-5.09E+03,16,215,2188,1
9406.46,22695.2,-2.25E+03,11,166,1111,1
12939,74465.9,-4.23E+03,26,249,3630,1
4554.31,921,-670,7,53,72,0
6790.71,4089.3,-2574.81,73,101,249,0
7472.41,14097.5,-2358.41,96,120,809,1
13364.7,90465.4,-4.01E+03,44,254,3885,1
10984,43581,-6839,191,230,2061,0
14718.2,134636,-8450,44,311,4925,0
9762.95,64812,-5319,33,220,3203,0
13282,75698.3,-3.49E+03,35,249,3630,1
4652.18,1101,-528,14,67,74,0
13245.3,89249,-7661,51,267,3889,0
19058.8,186884,-11048,92,439,6521,0
5854.15,7370.16,-1666.65,54,93,545,1
11353.1,80131,-8135,166,279,3798,0
16206.8,115998,-4.81E+03,63,271,4426,1
14504.1,104172,-1876,50,339,4439,0
11202.1,35439,-5864,41,270,1643,0
8414.71,17111,-2896.77,83,142,844,1
7929.02,8877,-3570,14,129,521,0
5598.91,1102,-826,24,66,63,0
7801.68,13927,-2130.12,43,120,809,1
17549.8,190154,-9967,322,374,6633,0
9240.35,10029.9,-1.38E+03,29,154,587,1
11409.4,50480.1,-5.44E+03,24,216,2677,1
11100.4,76049,-7498,46,244,3706,0
6145.48,9138,-2117,7,105,581,0
13218.6,51446.8,-2.77E+03,44,234,2464,1
11898,46156.3,-4.97E+03,21,215,2188,1
11002.8,70251,-6125,110,223,3209,0
7334.17,6997,-3343,15,121,397,0
20675.4,244859,-1.29E+04,82,540,8870,1
9868.87,35005,-3824,32,204,1934,0
9625.67,29224,-3403,24,170,1467,0
15715.5,168482,-7908,59,390,6294,0
9309.07,72643,-4931,36,216,3454,0
7143.43,17970,-3996,2,110,806,0
6661.86,5361,-2139,5,82,244,0
13865,70582,-5621,45,270,3130,0
10648.7,53396,-5518,43,210,2383,0
15098.8,66975,-4212,40,229,2603,0
4674.13,3944.51,-1.21E+03,13,79,317,1
11168.3,64955,-6410,156,222,3290,0
12202.2,41137,-6143,36,216,1754,0
8122.78,5330.75,-1.36E+03,29,86,205,1
12953.8,60657.5,-5.13E+03,24,247,2754,1
11597.3,39536,-5602,60,229,2127,0
13401.8,61361,-8372,147,314,2836,0
6366.8,2459,-1312,8,68,130,0
9388.91,25747.5,-3358.44,33,174,1415,1
10254.9,39993,-5223,32,192,1865,0
9527.61,25180,-2843,29,186,1414,0
11133,26813.1,-4137.09,41,214,1469,1
16066.4,115345,-3.89E+03,51,271,4426,1
8008.15,12458,-3366,24,169,695,0
13244.2,90867.7,-4.58E+03,41,254,3885,1
12682.8,74450.8,-4.24E+03,26,249,3630,1
2654.25,50.1395,-5.60E+02,6,33,5,1
12462.7,109412,-5505,21,284,4617,0
7424.17,5241.91,-2.38E+03,23,86,205,1
19923.7,301046,-8462,80,445,10102,0
7200.48,21532,-2783,186,146,1308,0
14156.9,135304,-9469,206,312,5731,0
23867.2,470143,-1.24E+04,50,483,15505,1
9437.37,39537,-1.80E+03,11,196,1885,1
19262.6,260781,-11947,262,424,9408,0
8200.54,11748.7,-2525.3,86,128,693,1
7678.78,12467,-3029,10,133,803,0
4157.84,1932.93,-1084.97,4,63,166,1
8164.92,10384,-2820,52,132,658,0
22272.6,414308,-6.94E+03,68,473,14125,1
12758.1,62379,-5684,46,237,2746,0
10635.8,34152,-5527,66,184,1691,0
11750.3,44735.6,-3.11E+03,46,223,2059,1
8563.17,24941.5,-3157.75,38,157,1519,1
10116.6,8766,-2512,19,138,400,0
13078.1,59655.6,-5.38E+03,25,247,2754,1
13495.6,116247,-6978,48,330,4627,0
11866.8,75220,-4.35E+03,25,249,3630,1
5400.55,12154,-1857,10,93,842,0
20693.5,240604,-6.14E+03,98,537,8350,1
21518.7,242311,-1.05E+04,104,537,8350,1
4839.23,2999.9,-1215.28,44,67,224,1
14427.1,57684,-6588,47,302,2537,0
11621.7,78331.6,-7.41E+03,40,272,3539,1
13037.8,119751,-5981,48,261,4517,0
24079.6,255885,-7.84E+03,92,537,8350,1
14771.1,142495,-3.88E+03,46,315,5844,1
13504.8,62330,-7140,13,187,1928,0
5489.41,3545.77,-750.43,46,51,132,1
11849,26594,-6014,37,192,1208,0
10433.5,57935,-4304,23,221,2824,0
9408.37,27442,-2905.23,91,158,1403,1
16159.2,113629,-7506,72,378,4731,0
7214.29,8242,-2144,16,117,457,0
27093,1005950,-20576,198,715,30042,0
7224.2,15659.5,-2636.71,70,134,970,1
6977.83,4124,-3333,47,112,292,0
21874,98011,-7816,92,436,3305,0
29018.8,814047,-18392,186,753,20648,0
8424.32,51426.8,-3.36E+03,36,188,2599,1
16541.8,142461,-10712,309,387,5428,0
14591.8,59810.2,-6648.95,157,305,2610,1
13394.9,50782.6,-3.44E+03,76,234,2464,1
24861.1,263742,-8.92E+03,102,537,8350,1
7076.03,7333.25,-2509.39,16,122,429,0
13424.3,139083,-8246,150,326,6508,0
8169.22,11978.8,-2552.44,82,128,693,1
9660.44,39277,-2.19E+03,21,196,1885,1
24203.2,270592,-8.57E+03,102,537,8350,1
14193.6,52252.6,-3.03E+03,34,234,2464,1
5469.77,2774.29,-1135.92,40,67,224,1
32956.9,509795,-19912,154,782,14166,0
13851,97433,-6459,85,270,3796,0
3667.89,1830.27,-1254.23,7,63,166,0
25488.7,674161,-23313,92,725,20240,0
6279.92,2887,-2615,3,110,166,0
18386.1,305592,-11749,201,428,11269,0
12232,83120,-7431,41,332,3638,0
4934.37,4383.61,-1344.15,21,72,340,1
19078.9,115932,-8056,63,405,4071,0
13200.8,47551.1,1.69E+02,45,223,2059,1
8862.58,18382,-4782,62,164,1019,0
10245.7,39694,-5506,236,191,2119,0
7066.77,12822,-1810,12,129,808,0
5092.22,4613,-1623,8,94,313,0
8292.36,19094,-3691,58,162,1206,0
8070.5,21314,-2858,22,145,1109,0
7907.16,10368,-2517,25,144,619,0
8921.63,16699,-3202,17,108,486,0
21426.5,195815,-6.27E+03,68,403,6746,1
15570.6,116371,-4.88E+03,51,271,4426,1
12721,116199,-4.02E+03,39,235,4905,1
8664.9,21422,-4481,31,165,1305,0
14220.2,115403,-7946,46,323,4920,0
9628.76,29902,-5093,98,178,1634,0
17981.6,172276,-6.97E+03,87,403,6746,1
14801.3,164892,-8297,197,330,6520,0
4055.36,5888,-1044,20,68,481,0
9390.24,26582.3,-2.21E+03,67,166,1414,1
14051.3,60594.5,-5.13E+03,23,215,2188,1
4314.17,1954.68,-1083.85,5,63,166,1
29522.8,762649,-19830,146,718,22296,0
16318,210590,-10706,52,365,8077,0
10831.5,38480.2,-4170.23,119,205,1751,1
10012,38428.4,-4134.91,15,193,2118,1
20831.8,210073,-7060,80,327,5215,0
8733.6,12095.4,-2659.16,86,136,619,1
8763.84,16796.1,-2812.48,82,142,844,1
9147.41,39660,-4400,80,202,2124,0
8528.23,17259,-3365,64,144,844,0
5462,5518,-2216,20,93,320,0
9594.94,23053.1,-1.02E+03,16,166,1111,1
11324.6,50307.3,-5.57E+03,27,216,2677,1
16720.2,133299,-6722,70,349,5329,0
8703.42,12586.2,-2447.09,65,136,619,1
10861.9,43273,-8498,112,231,2188,0
5743.9,3670,-2710,11,96,273,0
20346.2,451497,-14199,113,581,15338,0
5147.75,3478.04,-790.805,50,51,132,1
13716.3,52042,-9051,47,306,2255,0
9000.64,25077.5,-3127.62,34,157,1519,1
8535.96,13514.6,-2970.68,14,148,729,1
9373.94,39216.3,-2.15E+03,19,196,1885,1
5313.22,4309.04,-1250.53,24,72,340,1
7058.96,18564,-4310,23,149,1109,0
10019.7,43592,-4865,29,200,2392,0
17940.9,135164,-11251,251,388,4827,0
6490.39,6538,-2743,38,113,425,0
5954.81,4296.1,-1377.05,120,88,318,1
11197.9,78141.2,-8.06E+03,39,272,3539,1
10748.7,83878.2,-2.21E+03,24,220,3450,1
9832.53,26728,-1704,15,157,1116,0
7165.28,13299,-4447,59,135,770,0
7943.07,11931,-2090,31,131,805,0
8973.96,26629.6,-2.49E+03,39,156,1364,1
27786.2,622142,-12100,112,607,16234,0
13115.4,132299,-6448,49,311,5320,0
5187.38,3336.77,-777.585,47,51,132,1
9668.71,21528,-3698,94,171,1160,0
8575.2,16781,-2748.3,76,142,844,1
13731.9,88591.3,-6892.04,40,291,3799,0
13203.9,119128,-3.21E+03,40,235,4905,1
4823,2904.45,-1197.3,34,71,249,1
16318,191669,-8499,230,358,7337,0
23871.7,316380,-13518,141,477,9693,0
24076.6,469701,-1.26E+04,39,483,15505,1
8745.29,27356,-4790,18,173,1524,0
4370.71,1889.72,-995.508,7,63,166,1
35031.2,839199,-16112,533,713,24012,0
9945.75,31692,-5676,100,189,1687,0
13088.3,38582,-4539,22,197,1519,0
7589.93,9536.42,-2421.27,20,123,621,1
10727.5,60535,-4729,26,241,2744,0
14492.6,74877,-9693,58,349,3135,0
24161.7,363088,-13063,369,604,11142,0
15096,114304,-4.73E+03,69,271,4426,1
10123,10390.1,-1.74E+03,42,154,587,1
13227.2,85425,-7354,199,275,3711,0
9918.38,41130,-4655,24,148,1412,0
7992.31,24754.7,-7.85E+02,27,156,1364,1
30890.7,890793,-16372,136,728,24027,0
12603.2,78304.5,-3.79E+03,47,272,3539,1
3367.58,1409.09,-660.443,33,40,100,1
12232.6,60188.3,-5.47E+03,24,247,2754,1
12663.4,79528,-6471,127,292,3546,0
11995.7,113176,-2.33E+03,41,235,4905,1
16321.1,100742,-8039,62,328,3980,0
7086.23,10422.7,-3.07E+03,23,109,689,1
14059.8,60700,-5.32E+03,27,247,2754,1
5654.66,5248,-2305,49,78,364,0
6432.89,12309.5,-1874.63,7,105,765,1
11022.3,37999.9,-4313.44,118,205,1751,1
10342.2,40023,-6092,34,208,2054,0
13974.6,205332,-10237,66,347,8206,0
3897.95,1636,-1156,9,66,148,0
13110.6,47322.9,-7632.78,50,298,2196,0
16976.2,145422,-7440.93,187,362,5847,1
10508.8,24043,-5652,59,140,1061,0
13777.7,51552,-5.11E+03,41,234,2464,1
5082.03,1918,-1128,19,74,133,0
11987.8,72940,-3892,17,303,3459,0
13023.9,95238,-6347,88,275,4429,0
11542,54205,-3909,38,190,2180,0
15665.7,115945,-4.78E+03,49,271,4426,1
24700.4,281528,-1.26E+04,70,540,8870,1
18501.4,389928,-13295,119,509,13968,0
12289.9,41736,-7535,18,190,1526,0
11429.2,40005,-5264,33,228,1933,0
13745.6,49955,-6365,42,260,2196,0
14741.9,59292,-5.03E+03,40,215,2188,1
8135,12035.3,-2532.61,82,128,693,1
7838.21,18540,-3768,9,152,1069,0
18218.5,260837,-10300,61,403,10236,0
13846.5,91755.4,-5.92E+03,62,254,3885,1
10773.3,24336,-4345,25,235,1071,0
11980.6,46667.6,-6.79E+03,18,215,2188,1
12369.5,60324,-7202,196,291,2825,0
19437.2,236439,-11919,82,471,7842,0
14261.2,68363,-1143,45,284,2901,0
6513.48,10299.4,-3.18E+03,14,109,689,1
23883.2,471876,-1.20E+04,70,483,15505,1
5840.35,7529.36,-1900.47,59,104,457,1
13749.4,59648,-5627,32,275,2753,0
13509.6,92110,-5886,30,294,4064,0
16094.5,153002,-10387,185,400,5535,0
9498.21,20818,-3721,161,162,1255,0
19302,267837,-11473,54,410,10529,0
14971.3,93084,-7089,71,329,3808,0
10235.6,90593,-4532,17,222,4144,0
11877,48500,-4436,50,261,2328,0
9749.23,26309.8,-3351.99,23,174,1415,1
13112.5,52075.4,-5.02E+03,22,215,2188,1
5813.51,3441,-1621,7,95,269,0
8630.13,14074,-3700,103,153,771,0
15539.2,85623.6,-2.51E+03,55,223,2059,1
12823,68073,-6167,104,292,2679,0
13010.7,111613,-9781,175,301,5018,0
9833.73,51810.7,-3.21E+03,26,188,2599,1
24016.4,280750,-1.13E+04,73,540,8870,1
11253.4,87103.4,-3.16E+03,17,220,3450,1
5945.33,1776.01,-1755.02,50,84,136,0
21841.7,375981,-12748,71,507,13152,0
4771.49,3136.24,-1195.98,42,71,249,1
11659.4,33562.7,1.41E+04,23,234,1581,1
5512.77,3371.57,-1076.47,38,71,249,1
6798.08,13429.8,-1538.95,25,96,804,1
22719.8,414043,-8.28E+03,63,473,14125,1
17227.4,277641,-8804,49,381,10238,0
6410,7458.94,-1624.6,49,93,545,1
6191.28,8489.3,-1538.27,31,87,483,0
5954.92,7555.29,-1612.32,49,93,545,1
13384.6,48029.1,-3.30E+03,51,223,2059,1
8214.82,31749,-4094,29,161,1868,0
11868.5,55331,-5446,37,218,2390,0
16728.4,162162,-7754.51,76,352,6744,1
21154.7,175130,-7443,53,410,5323,0
15160,91289,-7830,47,299,3714,0
4611.53,2769,-1106,3,59,166,0
11944.8,115635,-4.64E+03,53,235,4905,1
6751.72,10607,-2710,18,96,580,0
11852.3,59052,-7234,78,324,2759,0
14274.2,57692,-7205,82,258,2330,0
11115.3,83593.5,-1.02E+03,25,220,3450,1
12173.5,113351,-4.13E+03,44,235,4905,1
9773.13,30178.1,-3460.06,125,171,1747,0
10059.4,25711,-5363,88,146,1209,0
16263.7,140452,-8482,54,369,5536,0
11316.7,31063,-4898,55,209,1468,0
16321.3,118728,-4140,79,331,4721,0
8129.69,12485,-3637,30,142,767,0
9969.04,37380,-3115,32,176,1696,0
11532.2,44871.4,-2.13E+03,34,166,1414,1
8891.96,8580,-3250,18,123,517,0
11539.6,114305,-3.38E+03,47,235,4905,1
16117,141951,-7254,39,331,5532,0
22471.6,412086,-6.62E+03,60,473,14125,1
12184.6,89290.7,-6.70E+03,46,254,3885,1
8598.82,26340.6,-2.32E+03,32,156,1364,1
13977,141247,-4.18E+03,48,315,5844,1
20699,248377,-1.17E+04,98,537,8350,1
15142,60470.1,-6498.04,147,305,2610,1
8751.63,14889,-4903,15,160,769,0
14383.9,51081.9,-2.46E+03,40,234,2464,1
16370.9,173366,-7.20E+03,65,403,6746,1
14445.9,124944,-11838,237,354,4919,0
6167.71,10370.5,-3.19E+03,13,109,689,1
19057.6,366884,-14247,111,472,12970,0
15730.1,110856,-5.13E+03,34,322,4619,1
14469.9,80813,-5728,186,241,3136,0
9658.82,10190.5,-2.14E+03,37,154,587,1
12462.5,60594.3,-5.61E+03,29,247,2754,1
23779.2,262549,-1.47E+04,82,540,8870,1
7767.28,12235,-1670.8,13,105,765,1
21749.2,410106,-9.28E+03,65,473,14125,1
4237.13,2484,-719,19,77,186,0
9782.13,41885,-4572,27,213,1992,0
10697.1,49584.4,-4.98E+03,27,216,2677,1
7093.75,12571,-3620,286,131,764,0
10591.3,25737.6,-1.90E+03,29,166,1111,1
6305.26,4342,-2608,17,100,270,0
5055.19,3249.8,-1158.08,35,71,249,1
24128.5,279957,-1.34E+04,64,540,8870,1
7397.18,14879.8,-2771.1,78,134,970,1
4986.74,3178.44,-1128.08,38,71,249,1
8766.46,26176.9,-2.05E+03,25,156,1364,1
8353.16,9894.1,-2370.49,21,123,621,1
5237.35,3157.56,-1085.28,38,71,249,1
14329.4,58233.7,-5.75E+03,40,215,2188,1
14539.1,141501,-5.48E+03,44,315,5844,1
23961.3,354096,-15114,116,561,11745,0
11062.5,85192.7,-2.96E+03,19,220,3450,1
9017.84,20768,-3656,41,165,1024,0
23164.1,626764,-10352,115,484,9688,0
8072.84,30931,-3057,12,158,1580,0
13184.9,181069,-6692,40,277,7201,0
15180.4,122375,-8474,35,319,5119,0
8548.76,24902.6,-3248.58,29,157,1519,1
9492.75,39256.8,-2.97E+03,21,196,1885,1
11855.9,104601,-5846,34,262,4623,0
9764.24,42738.6,-3052.6,97,159,2181,1
5772.69,4598,-1821,109,85,342,0
22302.8,539834,-14014,86,582,17882,0
13799.6,90961.7,-4.83E+03,48,254,3885,1
7492.75,9478.59,-3142.1,94,130,490,0
14637.5,139653,-4.24E+03,42,315,5844,1
10619,85260.6,-2.66E+03,22,220,3450,1
18705.1,267599,-10496,36,396,9400,0
14451.4,74148,-5885,42,291,3217,0
17068.8,178744,-9938,296,381,6978,0
9906.96,10780.6,-2.40E+03,38,154,587,1
17228.7,230844,-8095,94,419,8352,0
8546.7,11175,-3806,62,171,620,0
13213.6,79811.6,-5.45E+03,58,272,3539,1
8267.63,27280,-5304,122,159,1628,0
12225.9,52519.9,-7039.07,43,288,2334,0
12604.9,41364,-6067,42,280,1938,0
17573.4,268551,-10935,63,481,9959,0
15798.2,115111,-5.34E+03,55,271,4426,1
8942.5,39996,-3736,37,181,2181,0
7314.27,9436,-2997,11,140,554,0
16803.1,175455,-6.74E+03,82,403,6746,1
23082.5,309652,-12776,91,482,9834,0
11321.1,85817.3,-3.91E+03,20,220,3450,1
21499.4,465709,-1.27E+04,80,483,15505,1
12260.4,39182,-4420,33,236,1813,0
18588.3,232299,-12288,95,437,7837,0
9333.64,25863,-5669,34,200,1468,0
12271.5,52969.3,-3.29E+03,104,224,2192,1
8485.72,13431.2,-2838.9,11,148,729,1
7355.22,11978,-2116,35,128,769,0
14333.8,235068,-6996,58,349,9396,0
27622.6,437696,-12120,34,376,6518,0
11265.7,60754,-5331,138,232,2602,0
10098.7,43197,-4534,46,190,2318,0
13118.1,90940.7,-4.04E+03,45,254,3885,1
11157.9,39520,-6475,56,214,1931,0
12282,67246,-4383,63,249,2903,0
9596.96,52031.6,-3.07E+03,43,188,2599,1
13561,144015,-4957.24,40,248,5018,0
14941.2,86906,-7672,76,299,3801,0
11086,45950,-4715,28,206,2194,0
11751.8,52284.9,-4.16E+03,20,216,2677,1
13579.3,142646,-6213.24,167,308,6057,1
10241.5,34794,-4704,151,205,1637,0
26414.4,757543,-15116,90,629,18498,0
5097.85,1646.18,-755.785,37,52,133,1
5004.54,1073,-937,14,66,87,0
25132.5,470341,-1.32E+04,45,483,15505,1
8649.42,21504,-3789,18,154,1201,0
15150.5,60381.5,-5.08E+03,34,215,2188,1
13652,165927,-7525,76,321,7208,0
18165.5,204814,-8886,24,374,7459,0
13781.5,50910.6,-3.34E+03,40,234,2464,1
9928.82,49921,-3879,30,216,2601,0
3691.12,1410.5,-1066.76,39,52,133,0
8618.63,25035.6,-3166.78,32,157,1519,1
9404.98,25456,-3827,32,223,1317,0
7288.54,14178.6,-2340.81,88,120,809,1
12224,62391,-6441,26,238,2679,0
6155.14,10204.3,-4.03E+03,26,109,689,1
9015.47,27283,-3705,392,176,1571,0
15553.3,145531,-8265,45,345,5640,0
8528.63,21168.9,-3.06E+02,31,166,1111,1
4746.93,2021,-1375,8,60,148,0
14406.8,143278,-6069.13,166,308,6057,1
10594.9,85411.9,-2.49E+03,22,220,3450,1
15785.5,123102,-8574,100,317,4724,0
10694.2,37905.5,-4176.08,128,205,1751,1
16374.5,214421,-11567,154,390,8347,0
29586.5,849315,-14655,70,568,18272,0
6008.03,4506,-2124,14,101,317,0
11552.7,47425,-6.57E+03,33,215,2188,1
15824.7,190186,-6763,34,310,6508,0
9584.34,27657.9,-2932.47,100,158,1403,1
8174.08,9778.28,-3143.55,30,138,554,1
12005.7,74442,-5532,28,252,3455,0
11459.4,49001,-5152,59,228,2329,0
10858.2,41126,-5569,26,189,1994,0
10812,38484.3,-3776.67,25,193,2118,1
6399.87,10268,-3.50E+03,16,109,689,1
13403.6,60862.4,1.63E+03,42,247,2754,1
12324.9,94102,-5956,50,261,4155,0
6704.25,5176.73,-2108.01,59,107,346,1
7114.44,14646,-3758,17,126,806,0
12370.2,44187,-6851,49,279,2003,0
14272.7,57841,-5.89E+03,24,215,2188,1
9808.29,26360.6,-3394.16,42,174,1415,1
7868.57,12102.3,-2511.61,82,128,693,1
8847.18,25385.8,-3122.92,34,157,1519,1
12448.2,101793,-7019,116,275,4148,0
8272.61,25181,-3179.72,27,157,1519,1
7391.06,14376,-3306,20,152,892,0
11496.8,22004,-5297,116,204,1070,0
15614.5,178927,-8576,60,345,7214,0
11708.8,60976,-6453,25,255,2828,0
15909.9,199853,-7748,296,346,8209,0
17399.2,121556,-5244,149,341,4441,0
6898.14,13925.3,-2382.49,98,120,809,1
8414.01,8012,-2649,34,133,487,0
9331.68,23777,-2810,31,146,1258,0
9024.41,26081.7,-2.81E+03,28,156,1364,1
4317.33,1939.15,-1058.31,5,63,166,1
6511.93,10239.5,-3.09E+03,16,109,689,1
5266.77,2930,-2285,13,75,187,0
9871.51,27749,-3675,64,193,1632,0
27671,443927,-16710,128,693,13324,0
6457.93,11533,-2168,59,108,765,0
8719.41,38774.4,-3.56E+03,21,196,1885,1
21861.3,258583,-6.20E+03,56,540,8870,1
7296.97,15438.8,-2654.05,66,134,970,1
